session_id,time,value,peak_opacity,opacity_change_rate,significant_changes,duration,ambient_light_level,clearing_time,timestamp
,3731.0,3552.0,,,,,,,
,3859.0,3536.0,,,,,,,
,3988.0,3616.0,,,,,,,
,4116.0,3680.0,,,,,,,
,4245.0,3728.0,,,,,,,
,4373.0,3712.0,,,,,,,
,4501.0,3792.0,,,,,,,
,4630.0,3840.0,,,,,,,
,4758.0,3680.0,,,,,,,
,4886.0,3632.0,,,,,,,
,5015.0,3680.0,,,,,,,
,5143.0,3728.0,,,,,,,
,5271.0,3648.0,,,,,,,
,5400.0,4032.0,,,,,,,
,5528.0,4433.0,,,,,,,
,5657.0,3280.0,,,,,,,
,5785.0,2880.0,,,,,,,
,5914.0,2624.0,,,,,,,
,6042.0,2576.0,,,,,,,
,6171.0,2560.0,,,,,,,
,6299.0,2448.0,,,,,,,
,6427.0,2512.0,,,,,,,
,6556.0,2608.0,,,,,,,
,6684.0,2848.0,,,,,,,
,6812.0,2976.0,,,,,,,
,6941.0,3152.0,,,,,,,
,7069.0,3264.0,,,,,,,
,7198.0,3232.0,,,,,,,
,7326.0,2752.0,,,,,,,
,7454.0,2384.0,,,,,,,
,7583.0,2368.0,,,,,,,
,7711.0,2384.0,,,,,,,
,7839.0,2352.0,,,,,,,
,7968.0,2336.0,,,,,,,
,8097.0,2336.0,,,,,,,
,8225.0,2336.0,,,,,,,
,8354.0,2304.0,,,,,,,
,8482.0,2320.0,,,,,,,
,8610.0,2304.0,,,,,,,
,8739.0,2304.0,,,,,,,
,8867.0,2304.0,,,,,,,
,8995.0,2256.0,,,,,,,
,9124.0,2320.0,,,,,,,
,9252.0,2240.0,,,,,,,
,9380.0,2304.0,,,,,,,
,9509.0,2272.0,,,,,,,
,9637.0,2336.0,,,,,,,
,9765.0,2304.0,,,,,,,
,9894.0,2304.0,,,,,,,
,10022.0,2272.0,,,,,,,
,10151.0,2256.0,,,,,,,
,10279.0,2320.0,,,,,,,
,10407.0,2336.0,,,,,,,
,10536.0,2288.0,,,,,,,
,10664.0,2336.0,,,,,,,
,10792.0,2304.0,,,,,,,
,10921.0,2320.0,,,,,,,
,11050.0,2320.0,,,,,,,
,11178.0,2272.0,,,,,,,
,11306.0,2336.0,,,,,,,
,11435.0,2384.0,,,,,,,
,8.0,192.0,,,,,,,
,126.0,256.0,,,,,,,
,226.0,192.0,,,,,,,
,327.0,224.0,,,,,,,
,427.0,240.0,,,,,,,
,527.0,256.0,,,,,,,
,628.0,192.0,,,,,,,
,728.0,240.0,,,,,,,
,829.0,240.0,,,,,,,
,929.0,256.0,,,,,,,
,1030.0,256.0,,,,,,,
,1130.0,240.0,,,,,,,
,1230.0,176.0,,,,,,,
,1331.0,192.0,,,,,,,
,1431.0,240.0,,,,,,,
,1532.0,256.0,,,,,,,
,1632.0,224.0,,,,,,,
,1733.0,192.0,,,,,,,
,1833.0,224.0,,,,,,,
,1934.0,176.0,,,,,,,
,2034.0,224.0,,,,,,,
,2134.0,256.0,,,,,,,
,2235.0,240.0,,,,,,,
,2335.0,240.0,,,,,,,
,2436.0,224.0,,,,,,,
,2536.0,224.0,,,,,,,
,2637.0,240.0,,,,,,,
,2737.0,240.0,,,,,,,
,2838.0,192.0,,,,,,,
,2938.0,256.0,,,,,,,
,3038.0,240.0,,,,,,,
,3139.0,192.0,,,,,,,
,3239.0,256.0,,,,,,,
,3340.0,224.0,,,,,,,
,3440.0,224.0,,,,,,,
,3541.0,256.0,,,,,,,
,3641.0,240.0,,,,,,,
